sale_quantity,sale_date,class_id,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
77,201609,62,8,2,1,1,4,8,0,2,1,30,28,1,1,1,1,2,2,157,4,280,4565,1821,1624,2095,1607,5,2780,1561,1562
205,201609,8,2,2,1,1,5,0,3,2,0,17,21,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1525,5,2620,1580,1580
203,201609,65,14,2,1,1,1,6,0,1.8,1,12,12,1,1,1,1,2,1,130,4,230,4650,1850,1695,2075,1665,5,2700,1565,1565
41,201609,3,5,3,2,1,2,6,0,1,1,12,12,1,1,1,1,2,1,94,3,170,4534,1823,1483,1737,1362,5,2648,1553,1544
44,201609,88,0,2,2,1,4,6,0,1.6,0,17,17,1,1,1,1,2,1,81,4,155,4348,1807,1574,1780,1320,5,2680,1549,1521
66,201609,25,3,2,3,2,2,6,0,2.4,0,42,42,1,1,1,1,2,1,120,4,225,5213,1847,1750,2380,1840,7,3088,1586,1596
56,201609,60,5,3,2,2,2,6,0,2,1,22,22,1,1,1,1,2,1,152,4,340,4860,1854,1480,2034,1659,5,2850,1578,1574
18,201609,11,1,3,2,1,3,6,1,1.6,0,12,12,1,1,1,1,2,1,93.8,4,0,4600,1780,1445,1700,1230,5,2700,1555,1568
6,201610,55,3,2,1,3,2,6,1,1.4,1,12,12,1,1,1,1,2,1,103,4,200,4278,1781,1648,1815,1405,5,2555,1540,1540
26,201610,85,13,2,1,2,4,9,0,2,1,42,42,3,1,1,1,2,2,135,4,300,4661,1898,1664,2315,1850,5,2873,1617,1613
126,201610,26,16,3,2,1,6,6,0,1.6,1,12,12,1,1,1,1,2,1,123,4,245,4750,1820,1488,1820,1415,5,2730,1555,1550
111,201609,68,18,2,1,1,7,5,1,1.8,0,9,9,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1370,5,2750,1554,1549
53,201609,8,2,2,1,1,5,0,3,2.4,0,17,21,1,1,1,1,2,1,137,4,243,4585,1820,1685,2100,1590,5,2620,1580,1580
9,201609,91,15,2,1,1,1,6,0,1.8,1,17,17,3,1,1,1,2,1,135,4,285,4519,1831,1694,2075,1700,5,2670,1560,1550
330,201609,10,0,2,2,1,4,7,2,1.4,1,17,17,1,1,1,1,2,1,96,4,225,4255,1799,1452,1760,1280,5,2637,1549,1520
6,201609,54,14,2,3,3,1,5,1,1.3,0,6,6,2,1,1,1,1,1,68,4,120,4360,1685,1820,1835,1235,7.5,2750,1425,1435
12,201609,66,1,2,1,3,3,6,1,1.6,0,12,12,1,1,1,1,2,1,91.6,4,0,4270,1780,1630,1720,1275,5,2590,1557,1570
117,201609,95,11,2,3,3,1,5,1,1.5,0,6,6,2,1,1,1,1,1,82,4,0,4530,1721,1730,1850,1319,7.5,2720,1430,1450
7,201609,68,18,2,1,1,7,5,1,1.8,0,9,9,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1431,5,2750,1554,1549
291,201609,107,14,2,1,2,1,5,1,1.6,0,9,9,2,1,1,1,2,1,86,4,150,4680,1800,1750,1975,1450,7,2780,1495,1505
8,201609,74,6,3,2,1,5,5,1,1.6,0,12,12,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1250,5,2700,1535,1535
174,201609,64,0,3,2,1,4,7,2,1.4,1,17,17,1,1,1,1,2,1,96,4,225,4598,1826,1425,1825,1325,5,2656,1580,1554
56,201609,24,2,3,2,1,5,0,3,1.5,1,12,17,1,1,1,1,2,1,130,4,220,4649,1800,1416,1730,1306,5,2700,1547,1563
11,201609,63,5,2,1,3,2,5,1,1,1,12,12,1,1,1,1,2,1,94,3,170,4280,1785,1658,1665,1290,5,2530,1527,1533
6,201609,53,5,2,1,1,2,6,0,1.5,1,22,22,3,1,1,1,2,1,135,4,240,4524,1838,1701,2092,1717,5,2640,1563,1565
24,201609,55,3,2,1,3,2,6,1,1.4,1,12,12,1,1,1,1,2,1,103,4,200,4278,1781,1648,1815,1405,5,2555,1540,1540
91,201609,50,7,2,1,1,4,7,2,2,1,30,30,1,1,1,1,2,2,132,4,320,4398,1841,1591,2105,1590,5,2603,1547,1555
23,201609,17,8,3,2,4,4,8,0,2,1,42,42,2,1,1,1,2,2,200,4,350,5055,1860,1491,2250,1815,5,3108,1600,1627
10,201609,85,13,2,1,2,4,9,0,2,1,42,42,3,1,1,1,2,2,180,4,370,4661,1898,1664,2405,1890,5,2873,1617,1613
28,201609,91,15,2,1,1,1,6,1,2,0,17,17,1,1,1,1,2,1,104,4,178,4519,1831,1694,1925,1550,5,2670,1560,1550
157,201609,72,25,2,1,1,1,7,2,1.3,1,12,12,1,1,1,1,2,1,101,4,202,4510,1852,1677,1900,1475,5,2650,1575,1570
55,201609,80,4,3,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4683,1780,1465,1670,1228,5,2700,1540,1540
423,201609,40,10,3,2,1,3,6,0,1.6,0,12,12,1,1,1,1,2,1,93.8,4,0,4570,1775,1445,1650,1275,5,2700,1549,1562
28,201609,45,4,2,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4393,1766,1524,1655,1255,5,2700,1530,1530
326,201609,71,20,2,1,3,1,5,1,1.6,0,6,6,1,1,1,1,2,1,93,4,160,4420,1760,1670,1733,1358,5,2510,1500,1495
26,201609,9,0,3,2,1,4,7,2,1.4,1,17,17,1,1,1,1,2,1,110,4,250,4655,1780,1453,1840,1395,5,2651,1535,1532
78,201609,15,0,2,1,1,4,6,0,1.8,1,30,30,3,1,1,1,2,1,118,4,250,4506,1809,1685,2160,1710,5,2684,1569,1571
19,201609,53,5,2,1,1,2,6,0,1.5,1,22,22,1,1,1,1,2,1,133,4,240,4524,1838,1685,1967,1592,5,2690,1563,1565
34,201609,22,3,3,2,1,2,7,2,1.4,1,12,12,1,1,1,1,2,1,103,4,200,4587,1798,1463,1730,1295,5,2640,1538,1541
9,201610,8,2,2,1,1,5,0,3,2.4,0,17,17,3,1,1,1,2,1,137,4,243,4585,1820,1685,2100,1640,5,2620,1580,1580
9,201610,94,15,3,2,1,1,6,2,1.8,0,12,12,1,1,1,1,2,1,98,4,170,4725,1802,1478,1715,1340,5,2700,1551,1546
40,201610,80,4,3,2,1,5,5,1,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4683,1780,1465,1620,1203,5,2700,1540,1540
294,201610,54,14,2,3,3,1,5,1,1.5,0,6,6,2,1,1,1,1,1,78,4,135,4360,1685,1820,1925,1325,7.5,2750,1425,1435
328,201609,35,3,3,2,2,2,7,2,1.5,1,22,22,1,1,1,1,2,1,120,4,252,5018,1866,1459,1960,1510,5,2905,1599,1602
91,201609,12,6,3,2,1,5,0,3,1.8,0,12,12,1,2,2,1,2,1,73,4,142,4630,1775,1485,1845,1375,5,2700,1535,1535
8,201609,64,0,3,2,1,4,7,2,2,1,17,17,1,1,1,1,2,1,162,4,350,4610,1826,1425,1975,1475,5,2656,1580,1554
28,201609,32,4,3,2,2,5,0,3,2,0,22,18,1,1,1,1,2,1,104,4,190,4868,1830,1490,1870,1458,5,2775,1585,1585
84,201610,26,16,3,2,1,6,6,0,1.2,1,12,12,1,1,1,1,2,1,100,3,230,4750,1820,1488,1769,1320,5,2730,1555,1550
25,201610,25,3,2,3,2,2,6,0,2.4,0,42,42,1,1,1,1,2,1,120,4,225,5213,1847,1750,2380,1840,7,3088,1586,1596
47,201610,91,15,2,1,1,1,6,0,1.8,1,17,17,3,1,1,1,2,1,135,4,285,4519,1831,1694,2075,1700,5,2670,1560,1550
266,201610,97,20,3,2,1,1,0,3,1.5,0,9,9,1,1,1,1,2,1,85,4,141,4572,1825,1482,1672,1297,5,2670,1556,1542
125,201610,76,7,2,1,2,4,8,0,2,1,42,42,3,1,1,1,2,2,169,4,350,4629,1898,1655,2365,1900,5,2807,1617,1614
78,201610,43,18,2,3,3,7,5,1,1.5,0,6,6,1,1,1,1,2,1,82,4,0,4685,1785,1715,1920,1435,6.5,2750,1530,1525
298,201610,42,15,3,2,1,1,5,1,1.5,0,6,6,1,1,1,1,2,1,80,4,140,4631,1789,1470,1625,1250,5,2650,1502,1492
89,201610,94,15,3,2,1,1,6,2,1.3,1,12,12,1,1,1,1,2,1,95,4,185,4725,1802,1478,1755,1380,5,2700,1551,1546
156,201610,3,5,3,2,1,2,5,1,1.6,0,12,12,1,1,1,1,2,1,94,4,159,4534,1823,1483,1681,1306,5,2648,1553,1544
20,201609,49,19,3,2,1,5,6,0,2,0,12,15,1,1,1,1,2,1,116,4,202,4582,1795,1458,1855,1343,5,2700,1555,1560
37,201609,45,4,2,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4393,1766,1524,1625,1220,5,2700,1540,1540
46,201609,103,20,2,1,1,1,0,3,2,0,12,12,1,1,1,1,2,1,90,4,180,4470,1837,1670,1807,1432,5,2670,1550,1550
14,201609,75,10,2,1,3,3,6,1,1.6,0,12,13,1,1,1,1,2,1,91.6,4,0,4270,1780,1622,1645,1270,5,2590,1557,1570
429,201609,68,18,2,1,1,7,6,1,1.5,1,9,9,1,1,1,1,2,1,110,4,230,4620,1820,1750,1850,1435,5,2750,1554,1549
342,201609,43,18,2,3,3,7,6,1,1.5,1,6,7,1,1,1,1,2,1,110,4,230,4710,1785,1745,1955,1460,6.5,2750,1530,1525
30,201609,21,0,3,2,1,4,7,2,1.4,1,12,12,1,1,1,1,2,1,96,4,225,4562,1793,1468,1790,1310,5,2614,1518,1525
105,201609,33,13,3,2,4,4,9,0,2,1,42,42,2,1,1,1,2,2,180,4,370,5065,1860,1467,2330,1800,5,3079,1596,1600
47,201609,2,17,2,3,2,1,5,1,1.5,0,6,6,2,1,1,1,2,1,82,4,140,4680,1695,1940,2080,1480,7.5,2800,1445,1420
435,201609,77,3,2,1,1,2,7,2,1.5,1,22,22,1,1,1,1,2,1,119,4,250,4667,1839,1660,2050,1575,5,2750,1584,1588
15,201609,46,7,3,2,2,4,7,2,2,1,42,42,3,1,1,1,2,2,165,4,350,4761,1826,1439,2120,1710,5,2869,1564,1550
43,201609,82,13,2,1,1,4,7,2,2,1,30,30,3,1,1,1,2,2,135,4,300,4431,1804,1535,1990,1567,5,2699,1558,1549
194,201609,4,9,3,2,1,2,6,0,1.5,0,12,14,1,1,1,1,2,1,84,4,146,4666,1807,1460,1700,1270,5,2700,1541,1561
28,201609,99,10,3,2,1,3,7,2,1.4,1,12,12,1,1,1,1,2,1,95.6,4,0,4610,1800,1450,1780,1275,5,2700,1555,1564
63,201609,29,0,3,2,1,4,5,1,1.6,0,12,12,1,1,1,1,2,1,81,4,155,4475,1706,1469,1595,1115,5,2603,1460,1500
292,201609,105,18,2,2,3,7,5,1,1.2,0,5,4,1,1,1,1,2,1,60.3,4,116,4032,1680,1450,1350,985,5,2550,1488,1478
128,201609,65,14,2,1,1,1,6,1,2,0,12,12,1,1,1,1,2,1,116,4,200,4650,1850,1695,2050,1640,5,2700,1565,1565
68,201609,87,15,2,1,1,1,6,2,1.3,1,9,9,1,1,1,1,2,1,95,4,185,4440,1833,1545,1773,1398,5,2700,1556,1562
106,201609,34,0,3,2,1,4,5,1,1.6,0,9,9,1,1,1,1,2,1,81,4,160,4487,1706,1470,1600,1120,5,2603,1460,1500
34,201609,56,22,2,3,3,1,5,1,1.5,0,6,6,2,1,1,1,1,1,75,4,135,4440,1700,1783,1790,1270,7,2790,1420,1440
169,201610,68,18,2,1,1,7,5,4,1.8,0,9,9,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1410,5,2750,1554,1549
55,201609,77,3,2,1,1,2,6,0,2,1,22,22,3,1,1,1,2,1,186,4,353,4667,1839,1663,2230,1755,5,2750,1584,1588
9,201609,28,3,3,2,2,2,6,0,2,1,22,22,1,1,1,1,2,1,184,4,350,4834,1856,1494,2095,1660,5,2737,1585,1588
49,201609,4,9,2,2,1,2,6,0,1.6,0,12,14,1,1,1,1,2,1,86,4,155,4510,1797,1477,1803,1395,5,2685,1545,1567
19,201609,4,9,3,2,1,2,5,1,1.5,0,12,14,1,1,1,1,2,1,84,4,146,4567,1786,1456,1700,1225,5,2662,1540,1558
204,201609,4,9,3,2,1,2,6,0,1.5,0,12,14,1,1,1,1,2,1,84,4,146,4567,1786,1455,1700,1260,5,2662,1540,1558
32,201609,34,0,3,2,1,4,5,1,1.4,0,9,9,1,1,1,1,2,1,66,4,132,4487,1706,1470,1600,1120,5,2603,1460,1500
382,201609,49,19,3,2,1,5,6,0,1.5,0,12,15,1,1,1,1,2,1,86,4,148,4582,1795,1458,1820,1286,5,2700,1555,1560
147,201609,45,4,2,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4393,1766,1524,1625,1224,5,2700,1540,1540
7,201610,61,2,2,1,3,5,6,1,1.5,0,12,12,1,1,1,1,2,1,96,4,155,4270,1772,1605,1775,1197,5,2610,1540,1530
9,201610,37,2,2,2,3,5,0,3,1.5,0,9,9,1,1,1,1,2,1,96,4,155,4065,1695,1525,1500,1105,5,2530,1480,1465
8,201610,80,4,3,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4683,1780,1465,1670,1260,5,2700,1530,1530
611,201610,7,12,2,1,1,1,6,0,1.5,1,12,12,1,1,1,1,2,1,110,4,210,4649,1852,1710,2064,1560,5,2680,1565,1565
112,201610,7,12,2,1,1,1,6,0,1.5,1,12,12,1,1,1,1,2,1,110,4,210,4681,1827,1710,2064,1560,5,2680,1565,1565
198,201610,7,12,2,1,1,1,6,1,1.5,1,12,12,1,1,1,1,2,1,110,4,210,4640,1825,1745,2051,1541,5,2680,1565,1565
54,201610,125,32,2,1,1,1,5,1,1.5,0,6,7,2,1,1,1,2,1,83,4,150,4520,1790,1750,1960,1435,6.5,2700,1450,1480
44,201609,16,7,3,2,4,4,7,2,3,1,62,62,3,1,1,1,2,2,200,6,400,5036,1874,1480,2460,1960,5,3012,1630,1620
433,201609,17,8,3,2,4,4,8,0,2,1,42,42,2,1,1,1,2,2,178,4,310,5055,1860,1491,2250,1790,5,3108,1600,1627
16,201609,85,13,2,1,2,4,9,0,2,1,42,42,3,1,1,1,2,2,135,4,300,4661,1898,1664,2315,1850,5,2873,1617,1613
49,201609,3,5,2,2,1,2,5,1,1.6,0,12,12,1,1,1,1,2,1,94,4,159,4368,1823,1483,1676,1301,5,2648,1553,1544
208,201609,12,6,3,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1285,5,2700,1535,1535
47,201609,80,4,3,2,1,5,0,3,1.6,0,12,12,1,1,1,1,2,1,93,4,154,4683,1780,1465,1670,1260,5,2700,1530,1530
409,201609,19,1,3,2,2,3,7,2,1.6,1,17,17,1,1,1,1,2,1,132.4,4,265,4855,1860,1475,1990,1541,5,2805,1602,1609
42,201609,26,16,3,2,1,6,6,0,1.8,0,12,12,1,1,1,1,2,1,102,4,172,4750,1820,1488,1790,1370,5,2730,1555,1550
9,201609,37,2,2,2,3,5,5,1,1.5,0,9,9,1,1,1,1,2,1,96,4,155,4065,1695,1525,1470,1058,5,2530,1480,1465
16,201609,3,5,2,2,1,2,6,0,1,1,12,12,1,1,1,1,2,1,94,3,170,4368,1823,1483,1734,1359,5,2648,1553,1544
8,201609,3,5,3,2,1,2,5,1,1,1,12,12,1,1,1,1,2,1,94,3,170,4534,1823,1483,1689,1314,5,2648,1553,1544
6,201609,79,12,2,1,1,1,6,1,2,1,12,13,1,1,1,1,2,1,145,4,315,4545,1835,1700,2210,1700,5,2720,1565,1565
69,201609,34,0,3,2,1,4,6,0,1.6,0,9,9,1,1,1,1,2,1,81,4,155,4487,1706,1470,1650,1160,5,2603,1460,1500
50,201609,35,3,3,2,2,2,6,0,2,1,22,22,1,1,1,1,2,1,187,4,350,5018,1866,1461,2060,1580,5,2905,1599,1602
392,201609,97,20,3,2,1,1,5,1,1.5,0,9,9,1,1,1,1,2,1,85,4,141,4572,1825,1482,1640,1265,5,2670,1556,1542
6,201609,55,3,2,1,3,2,6,0,1.4,1,12,12,1,1,1,1,2,1,103,4,200,4278,1774,1646,1840,1430,5,2555,1540,1540
334,201609,16,7,3,2,4,4,7,2,1.8,1,62,62,1,1,1,1,2,2,140,4,320,5036,1874,1480,2250,1750,5,3012,1630,1620
11,201609,88,0,2,2,1,4,5,1,1.4,1,17,17,1,1,1,1,2,1,96,4,225,4348,1807,1574,1850,1395,5,2680,1549,1521
17,201609,88,0,2,2,1,4,7,2,1.4,1,17,17,1,1,1,1,2,1,110,4,250,4348,1807,1574,1885,1430,5,2680,1549,1521
843,201609,7,12,2,1,1,1,6,0,1.5,1,12,12,1,1,1,1,2,1,110,4,210,4649,1852,1710,2064,1560,5,2680,1565,1565
57,201609,112,9,3,2,1,2,5,1,1.5,0,12,12,1,1,1,1,2,1,80,4,141,4544,1779,1467,1620,1185,5,2600,1538,1539
9,201609,0,0,3,2,1,4,7,2,1.4,1,12,12,1,1,1,1,2,1,110,4,250,4605,1765,1460,1810,1300,5,2610,1517,1493
153,201609,55,3,2,1,3,2,6,0,1.4,1,12,12,1,1,1,1,2,1,103,4,200,4278,1781,1648,1840,1430,5,2555,1540,1540
23,201609,46,7,3,2,2,4,7,2,2,1,42,42,1,1,1,1,2,2,140,4,320,4818,1843,1432,2015,1565,5,2908,1566,1549
19,201609,6,0,2,2,3,4,6,0,1.6,0,12,12,1,1,1,1,2,1,81,4,155,3987,1705,1486,1545,1135,5,2470,1463,1456
48,201609,41,0,3,2,2,4,7,2,1.8,1,22,21,1,1,1,1,2,1,132,4,300,4866,1832,1464,2000,1500,5,2871,1584,1570
409,201609,19,1,3,2,2,3,6,0,2,0,17,17,1,1,1,1,2,1,118,4,193,4855,1860,1475,1940,1501,5,2805,1602,1609
12,201609,24,2,3,2,1,5,6,1,1.5,1,12,17,1,1,1,1,2,1,130,4,226,4649,1800,1416,1730,1275,5,2700,1547,1563
17,201609,9,0,3,2,1,4,5,1,1.4,1,17,17,1,1,1,1,2,1,96,4,225,4655,1780,1453,1820,1360,5,2651,1535,1532
8,201610,3,5,2,2,1,2,5,1,1,1,12,12,1,1,1,1,2,1,94,3,170,4368,1823,1483,1683,1308,5,2648,1553,1544
956,201610,84,5,3,2,1,2,6,0,1.5,0,12,12,1,1,1,1,2,1,85,4,142,4587,1825,1490,1675,1300,5,2687,1562,1548
126,201610,64,0,3,2,1,4,7,2,1.4,1,17,17,1,1,1,1,2,1,96,4,225,4598,1826,1425,1825,1325,5,2656,1580,1554
211,201610,39,9,3,2,2,2,6,0,1.5,1,17,17,1,1,1,1,2,1,120,4,0,4855,1854,1476,1960,1520,5,2737,1585,1587
71,201610,51,10,3,2,2,3,7,2,1.6,1,17,17,1,1,1,1,2,1,128.7,4,265,4710,1820,1470,1900,1495,5,2770,1567,1577
175,201610,14,0,3,2,2,4,7,2,1.4,1,30,30,1,1,1,1,2,1,110,4,250,4872,1834,1484,2015,1495,5,2803,1577,1550
239,201609,76,7,2,1,2,4,8,0,2,1,42,42,3,1,1,1,2,2,165,4,350,4629,1898,1655,2365,1900,5,2807,1617,1614
50,201609,33,13,3,2,4,4,9,0,2,1,42,42,2,1,1,1,2,2,135,4,300,5065,1860,1467,2305,1770,5,3079,1596,1600
60,201609,87,15,2,1,1,1,6,1,1.3,1,9,9,1,1,1,1,2,1,95,4,185,4440,1833,1545,1735,1360,5,2700,1556,1562
